"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.2104","Positive","17.293055590036992","interacts with","0a78918b318c9a666440b19941b2c94e_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.012","false","interacts with","0a78918b318c9a666440b19941b2c94e_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.4132","Positive","7.140685463961326","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.001","false","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.4131","Positive","9.581042631996942","interacts with","5d0942009326032f72c94ca27dc2015d_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.001","false","interacts with","5d0942009326032f72c94ca27dc2015d_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.2267","Positive","7.093264829040691","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.01","false","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.2615","Positive","11.460824208923551","interacts with","0c0605a3c4b75dfc31857a9167487df1_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.006","false","interacts with","0c0605a3c4b75dfc31857a9167487df1_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.308","Positive","13.156230703742027","interacts with","0cb8dc0c56bd0e3524dba46d210b26c9_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.001","false","interacts with","0cb8dc0c56bd0e3524dba46d210b26c9_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.1733","Positive","18.964423075183394","interacts with","10608cb99e86b1430b6507d8fcb500e6_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.037","false","interacts with","10608cb99e86b1430b6507d8fcb500e6_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2446","Negative","18.48821406849368","interacts with","30432de9f6dd4c74cc5042a8d0ece70f_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.003","false","interacts with","30432de9f6dd4c74cc5042a8d0ece70f_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.264","Negative","18.184260761231254","interacts with","20b02741232f1c067a84cab7b52256ee_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.002","false","interacts with","20b02741232f1c067a84cab7b52256ee_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2177","Negative","16.04603658571793","interacts with","44753606b01dd5d899e0c372598c574c_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.01","false","interacts with","44753606b01dd5d899e0c372598c574c_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
