Id,name,BetweennessCentrality,ClosenessCentrality,Degree,NeighborhoodConnectivity,Stress,Radiality,TopologicalCoefficient,kingdom
0022,5a7fabdfc2b1915ca336712e300eb727_eukaryote,0.0063264456868404,0.4945054945054945,14,17.071428571428573,306,0.9750677506775068,0.2306949806949807,eukaryote
0023,c2ff2968fc5eb368695f90ee12c20b86_bacteria,0.0019372517532768,0.481283422459893,8,20.625,136,0.9737127371273712,0.28125,bacteria
0024,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0.0189846027879601,0.5769230769230769,24,22.0,970,0.9821138211382112,0.2467228464419475,bacteria
0025,c256985cf7f385fa0e158aac9692f64d_bacteria,0.0110025074098151,0.5487804878048781,19,21.789473684210527,602,0.9799457994579944,0.2504537205081669,bacteria
0026,9fc26e6596f0b0189c6b268cc4d8d67b_fungi,0.0091627564867068,0.5882352941176471,28,27.964285714285715,668,0.9829268292682928,0.3173701298701298,fungi
0027,4745af0659fd8962bab4c6f134456248_fungi,0.013216186596746,0.569620253164557,24,24.75,890,0.9815718157181572,0.28125,fungi
0028,99318de41dd49424cad9bf4501ab86ce_eukaryote,0.0031897612580258,0.4838709677419354,10,19.9,194,0.9739837398373984,0.2736111111111111,eukaryote
0029,1f97c28f91d9a257362352f7c2958eb5_eukaryote,0.0120814181328727,0.5521472392638037,20,22.45,662,0.9802168021680218,0.2580459770114942,eukaryote
0030,acc6f82c660def2e2f383dfb4f075933_eukaryote,0.0034189632272076,0.4761904761904761,10,19.0,186,0.973170731707317,0.275,eukaryote
0031,0a78918b318c9a666440b19941b2c94e_bacteria,0.0065094369369556,0.5232558139534883,14,20.714285714285715,428,0.9777777777777776,0.2487091222030981,bacteria
0032,5d0942009326032f72c94ca27dc2015d_bacteria,0.0093126020384404,0.5590062111801242,24,25.70833333333333,678,0.9807588075880758,0.3024509803921568,bacteria
0033,0c0605a3c4b75dfc31857a9167487df1_bacteria,0.0125353266352184,0.5660377358490566,25,22.96,896,0.98130081300813,0.2669767441860465,bacteria
0034,0cb8dc0c56bd0e3524dba46d210b26c9_bacteria,0.0145969619676417,0.5732484076433121,25,22.84,970,0.9818428184281842,0.2595454545454545,bacteria
0035,10608cb99e86b1430b6507d8fcb500e6_bacteria,0.0015263280696342,0.4972375690607735,10,27.7,120,0.9753387533875338,0.3538461538461538,bacteria
0036,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0.0220838445940584,0.5806451612903225,25,20.44,1216,0.9823848238482386,0.2292134831460674,bacteria
0037,20b02741232f1c067a84cab7b52256ee_bacteria,0.0035317247814695,0.5142857142857143,13,20.307692307692307,208,0.9769647696476964,0.24765478424015,bacteria
0038,44753606b01dd5d899e0c372598c574c_bacteria,0.0025175819458078,0.5172413793103449,13,21.384615384615383,198,0.9772357723577236,0.2576459684893419,bacteria
0039,0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria,0.00782948159809,0.5625,21,23.142857142857142,592,0.981029810298103,0.2600321027287319,bacteria
0040,25f16fb9e13dc11d9cdb2563441d93ea_fungi,0.0151283438427376,0.5844155844155845,26,25.807692307692307,952,0.9826558265582656,0.2895419187554019,fungi
0041,5f279c746c8e0dc1b9305887f0cbae5a_fungi,0.0223777283385954,0.6474820143884892,41,26.5609756097561,1866,0.986720867208672,0.2951219512195122,fungi
0042,850f9456f23d337e109baafd956b54d6_eukaryote,0.0026496379473391,0.4787234042553191,8,18.875,170,0.9734417344173442,0.2586805555555556,eukaryote
0043,f3f92c383527fe95a92d58291e300654_bacteria,0.0127465696387951,0.5454545454545455,20,20.2,678,0.9796747967479674,0.2376470588235294,bacteria
0044,007761694cceb108c141cce8750b23b5_fungi,0.008459432463217,0.5806451612903225,25,27.44,618,0.9823848238482386,0.3048888888888889,fungi
0045,f797cf2765402dd3d1f72f7838c4a54c_oomycete,0.0051146921180015,0.4918032786885246,10,17.5,228,0.9747967479674796,0.2306666666666666,oomycete
0046,6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote,0.0098926549714976,0.5325443786982249,16,18.3125,508,0.978590785907859,0.2172619047619047,eukaryote
0047,6025a8d68dfe9ed561f3501b70ef5274_bacteria,0.007293818969387,0.5732484076433121,24,25.625,568,0.9818428184281842,0.2879213483146067,bacteria
0048,162bf54549080b290d1ec8b0e6afbc1b_bacteria,0.0134813206538163,0.5844155844155845,26,24.73076923076923,910,0.9826558265582656,0.2747863247863248,bacteria
0049,d0c26a44a7a8b6ee4ba716861fc44da2_bacteria,0.0157959106971991,0.6040268456375839,31,24.096774193548388,1020,0.984010840108401,0.267741935483871,bacteria
0050,d48f4cda1feee6851d5bcf2d520066b9_bacteria,0.0090694236387499,0.5357142857142857,16,21.9375,484,0.9788617886178862,0.2573529411764705,bacteria
0051,613010f6345bf00e94847229463fe089_bacteria,0.0181109558649997,0.5960264900662251,31,25.774193548387096,1166,0.9834688346883468,0.2928885630498534,bacteria
0052,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0.0174921045580952,0.5882352941176471,29,23.82758620689655,1120,0.9829268292682928,0.2707680250783699,bacteria
0053,9de1b23e9381d3596dec0fd5a5bfc900_bacteria,0.0022394546376135,0.5056179775280899,13,24.692307692307693,134,0.9761517615176152,0.3155818540433925,bacteria
0054,958e14f4806af8a06db61870561138f7_bacteria,0.0122793049939749,0.6081081081081081,32,26.25,918,0.984281842818428,0.2916666666666667,bacteria
0055,ed6fcc3e0305e5fa551e1c67f33c1226_bacteria,0.007703998301183,0.5921052631578947,30,27.866666666666667,664,0.9831978319783198,0.3166666666666666,bacteria
0056,cb7f33c9ab6b6cc48e850692a6e57201_bacteria,0.0053931808048468,0.5769230769230769,25,25.96,482,0.9821138211382112,0.2916853932584269,bacteria
0057,6b9ca3313d241ab32629d7d007bfa458_bacteria,0.0103521084588405,0.5806451612903225,27,27.185185185185187,768,0.9823848238482386,0.3089225589225589,bacteria
0058,d4ced3fcf757696111ad371371ff4cce_fungi,0.020105370237412,0.6122448979591837,33,25.96969696969697,1294,0.9845528455284552,0.2885521885521885,fungi
0059,8d7bfbf1d9cc089639fe484763c3f188_oomycete,0.0112014562449868,0.569620253164557,26,26.73076923076923,700,0.9815718157181572,0.3108228980322003,oomycete
0060,d9e763753ea6a20c2a574df095f60580_eukaryote,0.0074681231997788,0.5660377358490566,23,25.47826086956522,500,0.98130081300813,0.2895256916996047,eukaryote
0061,ad1bc6953fe661253a1301a0dffd0535_bacteria,0.0053293314820136,0.4918032786885246,12,25.166666666666668,362,0.9747967479674796,0.3424657534246575,bacteria
0062,871638cacece191a60d3f3fe9407c592_bacteria,0.00035335160054261175,0.4433497536945813,4,22.5,22,0.9693766937669376,0.360655737704918,bacteria
0063,ce8fe047f6c78ee3610cc355efd59beb_bacteria,0.0122036009520375,0.5590062111801242,22,22.272727272727277,744,0.9807588075880758,0.2584566596194503,bacteria
0064,8da1ea508fd29598a72e6a69c9fb5bad_fungi,0.004624742753236,0.5084745762711864,14,22.928571428571427,288,0.9764227642276422,0.293040293040293,fungi
0065,394dace7cd674dc9355c4f64bfada83f_eukaryote,0.007038440530651,0.5263157894736842,14,21.785714285714285,462,0.9780487804878047,0.2585034013605442,eukaryote
0066,2a260e6160f0ac4a2e115072d5b0cd0f_eukaryote,0.0068040171587508,0.5172413793103449,14,19.785714285714285,372,0.9772357723577236,0.2412891986062717,eukaryote
0067,5d45291972b34cd7f9c4cd55ca8a95ea_bacteria,0.0095088383032321,0.5357142857142857,16,20.0,516,0.9788617886178862,0.2325581395348837,bacteria
0068,fb613c9c4a86c7589b321ffb051a485c_bacteria,0.0165769691367393,0.5521472392638037,21,19.666666666666668,854,0.9802168021680218,0.230812324929972,bacteria
0069,2b58ac3373c047a1eebbf7a75e2e0552_fungi,0.0043879752778052,0.5027932960893855,13,21.384615384615383,274,0.975880758807588,0.2741617357001972,fungi
0070,3f795849e5ab98c40f875a580004f9f7_eukaryote,0.0024448311132397,0.5027932960893855,11,23.818181818181817,178,0.975880758807588,0.3003452243958573,eukaryote
0071,d7a05ca6b0cf4959a1d5af8842fb78fa_fungi,0.0174721693747283,0.5732484076433121,25,22.96,1060,0.9818428184281842,0.2609090909090909,fungi
0072,61ee56e0408347b925580754c0228fac_bacteria,0.0026080861138362,0.4787234042553191,9,24.444444444444443,200,0.9734417344173442,0.3444444444444444,bacteria
0073,87175665ea2f0ba525a6c4bce5e2d7f2_bacteria,0.0032959112007985,0.5027932960893855,11,24.09090909090909,254,0.975880758807588,0.3037974683544304,bacteria
0074,a4496dfdf6cfe898e6e51cec293e31ef_bacteria,0.0060210513836083,0.5084745762711864,12,18.58333333333333,308,0.9764227642276422,0.23125,bacteria
0075,41e3305635db95437d26c71fbb3e9886_bacteria,0.0029182972039985,0.5172413793103449,11,24.363636363636363,196,0.9772357723577236,0.288961038961039,bacteria
0076,30915dab539abea2a31d47ae7d90792e_bacteria,0.0117542729644163,0.5521472392638037,21,21.61904761904762,734,0.9802168021680218,0.2513842746400886,bacteria
0077,e02440bc2cf2fbd51ab6c6a48c297786_fungi,0.0093862785970447,0.569620253164557,23,27.130434782608692,716,0.9815718157181572,0.3048363458720078,fungi
0078,45072f0f90af585d84d9e8b285570885_fungi,0.0115360740205885,0.5921052631578947,29,26.655172413793103,918,0.9831978319783198,0.2994963192561022,fungi
0079,1e2dd0b096801694733a077125a20228_bacteria,0.0080280408968513,0.5625,23,27.347826086956523,596,0.981029810298103,0.3143428285857071,bacteria
0080,eaa0ba9ff4398edf205048df9a36f578_fungi,0.0036769514417443,0.4787234042553191,10,17.7,218,0.9734417344173442,0.2478873239436619,fungi
0081,54693a9cf3c76c547dc9b56b6e9b266f_bacteria,0.0033570386376398,0.5263157894736842,15,23.933333333333334,218,0.9780487804878047,0.2849206349206349,bacteria
0082,84b78558c3c317566a13f29ab950da23_fungi,0.0138702689338456,0.5521472392638037,18,19.444444444444443,750,0.9802168021680218,0.2203282828282828,fungi
0083,16010d640ae1f9ef8b46d9778d31166d_fungi,0.004082619503104,0.5202312138728323,13,24.846153846153847,282,0.9775067750677506,0.2957875457875458,fungi
0084,2a50651b2cbc9fc60afae81923de86d5_eukaryote,0.0029564968860625,0.5113636363636364,11,23.181818181818183,216,0.9766937669376694,0.2792990142387733,eukaryote
0085,cdfb9490b3e043a9832cbace39b2d3fb_eukaryote,0.0047862649925304,0.4864864864864865,10,19.5,244,0.9742547425474254,0.2621621621621621,eukaryote
0086,a11e7d00f7f42af59b01f4684a52fa9d_bacteria,0.0034257307029805,0.4838709677419354,9,18.55555555555556,196,0.9739837398373984,0.2530864197530864,bacteria
0087,cd6040e6b124b405e0a57b6b2bc182a8_fungi,0.0047528810095817,0.5325443786982249,15,23.866666666666667,250,0.978590785907859,0.2775193798449612,fungi
0088,487c6b41204a1730dbfcf55f8b8e3dc1_eukaryote,0.0026559286472392,0.5,9,21.444444444444443,224,0.975609756097561,0.2666666666666666,eukaryote
0089,0b01e4d6558506012d0e1eaf493a5ded_eukaryote,0.00029037066698189905,0.4591836734693878,5,26.4,22,0.9712737127371274,0.3852941176470588,eukaryote
0090,39d163834966cd25a456abec8a6fb0a4_oomycete,0.0022657005862465,0.466321243523316,8,15.75,126,0.9720867208672086,0.2297794117647058,oomycete
0091,0f9788d4711e28f5164af206bb783e13_oomycete,0.0009980259681880645,0.4499999999999999,6,17.833333333333332,50,0.970189701897019,0.2804232804232804,oomycete
