"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"-0.1905","Negative","12.440745179380201","interacts with","4faf22474cef7bf9d255c73cd9db118e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.017","false","interacts with","4faf22474cef7bf9d255c73cd9db118e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2171","Negative","10.34370291386219","interacts with","12ce93ddd82908b0631426465fc4feff_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.011","false","interacts with","12ce93ddd82908b0631426465fc4feff_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1942","Positive","9.371711490832194","interacts with","66e3d8d65c7d38086039152ae0eea786_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.006","false","interacts with","66e3d8d65c7d38086039152ae0eea786_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.286","Positive","8.713891437782825","interacts with","9f9db7a86cad05f5ce499615c163e8a9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","9f9db7a86cad05f5ce499615c163e8a9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.4235","Negative","7.9187726730564405","interacts with","be23ac7180eac196be3e0514333d4301_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","be23ac7180eac196be3e0514333d4301_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3587","Negative","9.391407630805217","interacts with","f4a81d1da4f94db765f8dc3f8d9d71c1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","f4a81d1da4f94db765f8dc3f8d9d71c1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.202","Negative","14.009018843872044","interacts with","342e9d2aae0d012d6e73a1ded15cc28b_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.016","false","interacts with","342e9d2aae0d012d6e73a1ded15cc28b_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1882","Positive","10.278424481496604","interacts with","d96989fc36f17efec684123db1413110_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.013","false","interacts with","d96989fc36f17efec684123db1413110_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2885","Positive","8.713844842228625","interacts with","2ec351ef72927f2bc76225d8277dc602_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","2ec351ef72927f2bc76225d8277dc602_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3959","Negative","6.406425575725265","interacts with","d4143a84fa86f4939237b7d4e33cfc4d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","d4143a84fa86f4939237b7d4e33cfc4d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2766","Negative","8.795568548213113","interacts with","8c4947f4462ed1efbb71564b6c9aa0cb_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","8c4947f4462ed1efbb71564b6c9aa0cb_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
