Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target
0.3559,Positive,9.039016540906504,interacts with,0.001,False,interacts with,53d2340d5f7b4ef070da39397346b625_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,53d2340d5f7b4ef070da39397346b625_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0037,0002
-0.1905,Negative,12.4407451793802,interacts with,0.017,False,interacts with,4faf22474cef7bf9d255c73cd9db118e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,4faf22474cef7bf9d255c73cd9db118e_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0038,0002
-0.2171,Negative,10.34370291386219,interacts with,0.011,False,interacts with,12ce93ddd82908b0631426465fc4feff_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,12ce93ddd82908b0631426465fc4feff_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0039,0002
0.1942,Positive,9.371711490832194,interacts with,0.006,False,interacts with,66e3d8d65c7d38086039152ae0eea786_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,66e3d8d65c7d38086039152ae0eea786_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0040,0002
0.286,Positive,8.713891437782825,interacts with,0.001,False,interacts with,9f9db7a86cad05f5ce499615c163e8a9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,9f9db7a86cad05f5ce499615c163e8a9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0041,0002
-0.4235,Negative,7.91877267305644,interacts with,0.001,False,interacts with,be23ac7180eac196be3e0514333d4301_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,be23ac7180eac196be3e0514333d4301_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0042,0002
-0.3587,Negative,9.391407630805215,interacts with,0.001,False,interacts with,f4a81d1da4f94db765f8dc3f8d9d71c1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,f4a81d1da4f94db765f8dc3f8d9d71c1_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0043,0002
-0.202,Negative,14.009018843872044,interacts with,0.016,False,interacts with,342e9d2aae0d012d6e73a1ded15cc28b_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,342e9d2aae0d012d6e73a1ded15cc28b_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0044,0002
0.1882,Positive,10.278424481496604,interacts with,0.013,False,interacts with,d96989fc36f17efec684123db1413110_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d96989fc36f17efec684123db1413110_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0045,0002
0.2885,Positive,8.713844842228625,interacts with,0.001,False,interacts with,2ec351ef72927f2bc76225d8277dc602_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,2ec351ef72927f2bc76225d8277dc602_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0046,0002
