Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
5d54eca3a33fb457a8be68c125987b30_fungi	0.9865004230142396		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora		UNITE	Fungi			
5269051668adbbcfafb0071c8ee0a9f5_fungi	0.9999999999956941		Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Chrysozymaceae_gen_Incertae_sedis	Chrysozymaceae_sp	UNITE	Fungi			
bf55d9f14559952a5ba2ffbfa11dcdda_fungi	0.9290188961528868		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala		UNITE	Fungi			
1738ecd3e02da095b7c17b475ff5f16d_fungi	0.9999889259276792		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		UNITE	Fungi			
6165e7054339ede2eb3966789952239d_fungi	0.9999998377366208		Basidiomycota						UNITE	Fungi			
aa71bbd45022904874c6f6c3c73c6d29_fungi	0.958336433583937								UNITE	Fungi			
74d64152c550421ebe5bbf4b48a6cfed_fungi	0.9990692307481709		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp	UNITE	Fungi			
f802bb3707ffc16d8155426bcd3a4cfc_fungi	0.9998312424764331		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bradymyces	Bradymyces_sp	UNITE	Fungi			
363fe393e05cee15ef00e8d2e7aed23a_fungi	0.9995314266263646		Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp	UNITE	Fungi			
bfdce9476fed331dad5319c0ad50f66c_fungi	0.7567379404819414		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_caroliniana	UNITE	Fungi			
525e41ae95dae789dea551833ce37203_fungi	0.9999085296450327		Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Dinemasporium	Dinemasporium_morbidum	UNITE	Fungi			
0f515b224f320f9828f11a43a0f82053_fungi	0.9998926187613594		Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae			UNITE	Fungi			
fa3ee30559f93a24508743187fcae787_fungi	0.8758118457078355		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_janczewskii	UNITE	Fungi			
da40e2398dcd92d9ee43d39531b2ca11_fungi	0.9998732977471811		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae_gen_Incertae_sedis	Phaeosphaeriaceae_sp	UNITE	Fungi			
f86455e8b0ad8054957cba3d39438b11_fungi	0.9978274874252611		Ascomycota	Dothideomycetes	Pleosporales				UNITE	Fungi			
c8f625e1275d98548a9160c42ca21c8d_fungi	0.8872925459223506		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria_verkleyi	UNITE	Fungi			
bb1a9806c1dd1e2adf1bddc54165284b_fungi	0.8113495587358214		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria_tritici	UNITE	Fungi			
0b92905247c7bfed8bc72759bc2252d5_fungi	0.9577595827863354		Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_substerilis	UNITE	Fungi			
9704ba9f44cb3430ef13065cedddef8a_fungi	0.7085084492443484		Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp	UNITE	Fungi			
53a55261b307127fc08252b199ec809a_fungi	0.9999140651900993		Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp	UNITE	Fungi			
8d6c4b26fa294e39d8613e8a35673c24_fungi	0.9152403305091945		Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	Sordariomycetes_sp	UNITE	Fungi			
3555a0a84ae797b53e18980113ed192b_fungi	0.9977058761575502		Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_dejongiae	UNITE	Fungi			
5bad98cb7867ddb41dbb4bbb1df31f9b_fungi	0.9992364464319164		Ascomycota	Dothideomycetes					UNITE	Fungi			
02f0f658301afa221e625a4f05dab1eb_fungi	0.9638937555570825		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
b49c0bbc12b559767435fd845e4559f3_fungi	0.9998965693883484		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
82ce9f6b00e3f037b84c070fe42b585e_fungi	0.8344481454821999		Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Arrhenia	Arrhenia_sp	UNITE	Fungi			
265894ae7e51541119ade9cd678a6fea_fungi	0.9999922878354921		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia_sp	UNITE	Fungi			
3958c26a0389656a1c1f32c379ad3b24_fungi	0.9186468825956123		Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp	UNITE	Fungi			
7acec7d7822ee3dfdced04ac867772bd_fungi	0.9970886097776785								UNITE	Fungi			
3f0580004a15db719e591dab69c406dc_fungi	0.767103567143454		Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Dothideales_gen_Incertae_sedis	Dothideales_sp	UNITE	Fungi			
0f3ab3de31bbae0361d167d9b47c1edf_fungi	0.9999941827704281		Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis			UNITE	Fungi			
142a77e90ade28d3ba4d2e774d32281d_fungi	0.9980443144767288		Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_wieringae	UNITE	Fungi			
