Node1	Node2	Pvalue	Cor	CorrType
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.001	-0.2861	Negative
ce8fe047f6c78ee3610cc355efd59beb_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.006	0.25	Positive
0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.036	-0.1626	Negative
89206af4589b68a36b3313e1be7c6448_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.001	-0.2884	Negative
d7a05ca6b0cf4959a1d5af8842fb78fa_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.019	-0.2129	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.002	-0.2759	Negative
6dec4a7642385d3256e7c0ab2c05366d_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.017	-0.2107	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.008	-0.23	Negative
d4ced3fcf757696111ad371371ff4cce_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.014	-0.217	Negative
007761694cceb108c141cce8750b23b5_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.043	-0.1599	Negative
c0a6013edcd750f053a34cc2e955055c_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.002	-0.2499	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.002	-0.2925	Negative
4745af0659fd8962bab4c6f134456248_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.029	-0.1738	Negative
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.01	-0.2212	Negative
6f919188220b0c82be4439bb63dd189e_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.006	-0.2159	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	55e2f6614bc214f35d8745edeee16727_bacteria	0.001	-0.3129	Negative
0c0605a3c4b75dfc31857a9167487df1_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.012	0.2383	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.001	0.2769	Positive
0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.003	0.245	Positive
613010f6345bf00e94847229463fe089_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.01	0.2096	Positive
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.02	-0.177	Negative
f3f92c383527fe95a92d58291e300654_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.017	-0.2011	Negative
ce8fe047f6c78ee3610cc355efd59beb_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.004	0.2482	Positive
61ee56e0408347b925580754c0228fac_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.007	0.1916	Positive
44753606b01dd5d899e0c372598c574c_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.001	-0.2619	Negative
87175665ea2f0ba525a6c4bce5e2d7f2_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.038	-0.1729	Negative
a4496dfdf6cfe898e6e51cec293e31ef_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.019	-0.1742	Negative
0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	0.008	-0.192	Negative
89206af4589b68a36b3313e1be7c6448_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.001	-0.3087	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.018	-0.1969	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.025	-0.1929	Negative
d4ced3fcf757696111ad371371ff4cce_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.034	-0.1873	Negative
c0a6013edcd750f053a34cc2e955055c_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.004	-0.2264	Negative
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.018	-0.186	Negative
