Id,name,BetweennessCentrality,ClosenessCentrality,Degree,NeighborhoodConnectivity,Stress,Radiality,TopologicalCoefficient,kingdom,a_d_vis
0178,9aecac2abcac69ad5a121dabba570b20_fungi,0.003451237136465,0.5972222222222222,84,78.13095238095238,4140,0.9953806944886908,0.3028331487633813,fungi,0
0179,f399f80a36b7b63e3071e1397d106116_fungi,0.0039243281274398,0.593103448275862,81,75.61728395061728,4090,0.99530105129022,0.2930902478706096,fungi,0
0180,893838c627554dd7258f3ac3e024dfe2_fungi,0.0029987453845056,0.582392776523702,73,76.89041095890411,3372,0.9950886694276307,0.2980248486779229,fungi,0
0183,bb0bac95bc47602168f4048966f9be02_fungi,0.0014215958601674,0.5695364238410596,64,83.234375,2070,0.9948231920993948,0.3238691634241245,fungi,0
0184,9a72d97ba542c0d4c87ab583eb06188b_oomycete,0.0024235796539402,0.5657894736842105,60,76.96666666666667,2268,0.994743548900924,0.2983204134366925,oomycete,0
0185,09248793722288a010ac7f729c00643e_eukaryote,0.0014527707699995,0.5477707006369427,45,70.31111111111112,1340,0.9943453329085696,0.2725236864771748,eukaryote,0
0186,3c491ac457174deda16980612d97ab4f_eukaryote,0.0010219008740544,0.5408805031446541,39,76.82051282051282,934,0.994186046511628,0.2977539256609024,eukaryote,0
0187,6a93161d8c0b6e9c9d636325ba9ebcae_eukaryote,0.0032316814467746,0.6070588235294118,91,82.67032967032966,4372,0.995566528618456,0.3204276343811227,eukaryote,0
0188,28c42fb75b412baf6c28c32d0ad37e9b_eukaryote,0.0010473187484348,0.5363825363825364,37,69.51351351351352,934,0.9940798555803334,0.2715371621621621,eukaryote,0
0189,e3e05f194c5ba7c9e24fbaf65a891e6e_eukaryote,0.0027559180128201,0.5720620842572062,66,71.5909090909091,2740,0.994876287565042,0.2785638486027591,eukaryote,0
0190,3c8cb7ae46cf87caa164eb1a31c2ba7d_eukaryote,0.0017330579233129,0.5560344827586207,53,74.71698113207547,1674,0.994531167038335,0.2907275530430952,eukaryote,0
0191,ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,0.0017836301776981,0.5584415584415584,54,72.62962962962963,1834,0.9945842625039822,0.2815101923629055,bacteria,0
0192,1e2dd0b096801694733a077125a20228_bacteria,0.004472331425381,0.5958429561200923,83,74.39759036144578,4274,0.9953541467558672,0.2883627533389371,bacteria,0
0195,486eef6f6e7d9269c40a644d2d6832d6_bacteria,0.0030849129465357,0.5986078886310905,85,80.95294117647059,3780,0.9954072422215144,0.3137710898312813,bacteria,0
0200,a7139639bff5f1aef5393ef551b3b953_fungi,0.0032113041962187,0.57847533632287,70,70.38571428571429,3356,0.99500902622916,0.27281284606866,fungi,0
0201,84b78558c3c317566a13f29ab950da23_fungi,0.0021400674837478,0.5797752808988764,71,79.38028169014085,2560,0.9950355739619836,0.3076755104269025,fungi,0
0202,1bea8020d2c9d588ad86b87a8f8065e8_fungi,0.0037794412822291,0.6099290780141844,93,79.80645161290323,4638,0.9956196240841032,0.3093273318329582,fungi,0
0203,cd6040e6b124b405e0a57b6b2bc182a8_fungi,0.0007406733032791222,0.5363825363825364,36,71.22222222222223,732,0.9940798555803334,0.2771292693471682,fungi,0
0204,d8f0bf7bd6bfed38440976deac1053de_fungi,0.0041217906037727,0.5876993166287017,77,71.07792207792208,4092,0.9951948603589252,0.2754958220074499,fungi,0
0205,e13eae7ac33ca345b3e22b971ecb92b4_fungi,0.0053080644491536,0.6084905660377359,92,76.57608695652173,5620,0.9955930763512796,0.2968065385911695,fungi,0
0206,dcd80134a421ba1ee39910e372a24a74_fungi,0.0022929547459498,0.5758928571428572,68,77.0,2652,0.9949559307635129,0.2984496124031007,fungi,0
0208,f797cf2765402dd3d1f72f7838c4a54c_oomycete,0.0005156241368369446,0.5170340681362725,23,62.52173913043478,424,0.9936019963895084,0.2481021394064872,oomycete,0
0210,8d7bfbf1d9cc089639fe484763c3f188_oomycete,0.0012923498515195,0.548936170212766,47,79.76595744680851,1336,0.9943718806413931,0.3103733752794105,oomycete,0
0211,d9e763753ea6a20c2a574df095f60580_eukaryote,0.0012410567250004,0.5319587628865979,32,68.125,844,0.993973664649039,0.2650778210116731,eukaryote,0
0213,2a260e6160f0ac4a2e115072d5b0cd0f_eukaryote,0.0036987345851142,0.582392776523702,73,71.45205479452055,3628,0.9950886694276307,0.2769459488159711,eukaryote,0
0214,702fdff0087af04a85cb3584b775ba92_eukaryote,0.0029064400847796,0.5733333333333334,66,71.87878787878788,2876,0.9949028352978656,0.2785999530185576,eukaryote,0
0215,a70b9b48ee3a2f91d38850407dcdcaac_eukaryote,0.0016377404031015,0.5408805031446541,40,67.5,1266,0.994186046511628,0.2626459143968871,eukaryote,0
0216,3f795849e5ab98c40f875a580004f9f7_eukaryote,0.001070007753408,0.5341614906832298,33,63.39393939393939,836,0.9940267601146862,0.245712943387362,eukaryote,0
0217,18f83f1b38e7d46908c0805e2c1960e4_eukaryote,0.0029590156444619,0.591743119266055,80,79.4875,3612,0.995274503557396,0.3080910852713178,eukaryote,0
0218,20be67fe93cc9f6528d6aaddacc059f1_eukaryote,0.0019862109725933,0.583710407239819,74,81.79729729729729,2626,0.9951152171604544,0.3170437879740205,eukaryote,0
0221,10608cb99e86b1430b6507d8fcb500e6_bacteria,0.0023772098700874,0.5524625267665952,49,65.57142857142857,1722,0.994451523839864,0.2541528239202658,bacteria,0
0222,6f919188220b0c82be4439bb63dd189e_fungi,0.000978028355423836,0.5363825363825364,35,65.77142857142857,868,0.9940798555803334,0.2549280177187153,fungi,2
0224,223c70ea1023264b0e955d86276fac55_fungi,0.0011671880164311,0.5341614906832298,33,62.39393939393939,838,0.9940267601146862,0.2418369743951139,fungi,0
0225,4f8eec0fd883c3c151fb5dce569f8dc0_eukaryote,0.0029739697646701,0.567032967032967,61,71.75409836065573,2556,0.9947700966337476,0.2781166603126191,eukaryote,0
0226,613010f6345bf00e94847229463fe089_bacteria,0.001908894646777,0.5431578947368422,43,62.48837209302326,1410,0.9942391419772753,0.2440952034883721,bacteria,0
0227,374b88becf647abd98cc5b2b4ac528bd_bacteria,0.0024843909390068,0.5620915032679739,57,70.85964912280701,2278,0.9946639057024532,0.2746498028015776,bacteria,0
0229,228f3cd62dcd0e0ca5e463f2342f1f82_fungi,0.0013499220113375,0.5352697095435685,34,59.588235294117645,892,0.9940533078475098,0.2309621523027815,fungi,0
0230,886658e8f5f92525a3beccfa72774999_fungi,0.0008099791460518539,0.5254582484725051,26,59.15384615384615,522,0.9938143782520972,0.2301706076025142,fungi,0
0231,17eb8ebaa3d7404b362330e42a6d9149_bacteria,0.0020036343810808,0.5466101694915254,44,66.18181818181819,1604,0.994318785175746,0.2565186751233262,bacteria,0
0232,34dda3219113b5e264e609c30ab9b004_bacteria,0.0012156721537833,0.5454545454545455,43,74.02325581395348,1218,0.9942922374429224,0.2869118442401298,bacteria,0
