Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target,a_d_interaction
-0.1633,Negative,23.429982878891543,interacts with,0.043,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 1e2dd0b096801694733a077125a20228_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,1e2dd0b096801694733a077125a20228_bacteria,0222,0192,0
0.2088,Positive,18.68092300066734,interacts with,0.013,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 410eb181ab34fd951e2c531978b6faae_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,410eb181ab34fd951e2c531978b6faae_bacteria,0127,0015,0
-0.1682,Negative,13.109812755837073,interacts with,0.037,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 410eb181ab34fd951e2c531978b6faae_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,410eb181ab34fd951e2c531978b6faae_bacteria,0093,0015,0
-0.2217,Negative,10.167755433844658,interacts with,0.009,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) e8685172a54f1bfdffcce32273cb42f3_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,e8685172a54f1bfdffcce32273cb42f3_bacteria,0083,0016,0
-0.2217,Negative,16.856164645563013,interacts with,0.007,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) e8685172a54f1bfdffcce32273cb42f3_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,e8685172a54f1bfdffcce32273cb42f3_bacteria,0127,0016,0
-0.1899,Negative,10.653065445947798,interacts with,0.008,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 30915dab539abea2a31d47ae7d90792e_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,30915dab539abea2a31d47ae7d90792e_bacteria,0083,0017,0
0.1953,Positive,12.262152888528194,interacts with,0.009,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 30915dab539abea2a31d47ae7d90792e_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,30915dab539abea2a31d47ae7d90792e_bacteria,0093,0017,0
0.1613,Positive,20.4237153489038,interacts with,0.039,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 30432de9f6dd4c74cc5042a8d0ece70f_bacteria,007761694cceb108c141cce8750b23b5_fungi,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0073,0152,0
0.1901,Positive,12.94931147284088,interacts with,0.004,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 30432de9f6dd4c74cc5042a8d0ece70f_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0176,0152,0
-0.2751,Negative,10.479477141416428,interacts with,0.002,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 064cd789fb8e827f4ab320316d71e12a_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,064cd789fb8e827f4ab320316d71e12a_bacteria,0083,0018,0
-0.2576,Negative,15.73856698520696,interacts with,0.003,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 064cd789fb8e827f4ab320316d71e12a_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,064cd789fb8e827f4ab320316d71e12a_bacteria,0127,0018,0
