Node1	Node2	Pvalue	Cor	CorrType
a969b7e9ee836c48ee319226ac0aac95_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.019	0.1592	Positive
d54ca076b9cf97723c4a8be8304c05e1_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.025	0.1576	Positive
9fc26e6596f0b0189c6b268cc4d8d67b_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.018	-0.2012	Negative
a4830ec2beeeeaef48f6d7f401df4241_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.431	Negative
12907f7fde00bb40c358a652d79ffcb6_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	-0.2604	Negative
89206af4589b68a36b3313e1be7c6448_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.02	-0.2036	Negative
d7a05ca6b0cf4959a1d5af8842fb78fa_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.2932	Negative
9561dff2fb67039404a8a5d6c669959c_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.016	-0.2135	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.2851	Negative
16010d640ae1f9ef8b46d9778d31166d_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.017	-0.2012	Negative
6dec4a7642385d3256e7c0ab2c05366d_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	-0.2415	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.011	-0.2091	Negative
d4ced3fcf757696111ad371371ff4cce_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.3105	Negative
007761694cceb108c141cce8750b23b5_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.013	-0.2136	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.002	-0.299	Negative
92b9c83064618f3fa4cc6f518011a93f_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.018	0.1826	Positive
45072f0f90af585d84d9e8b285570885_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.003	-0.2597	Negative
